iter	Passed	Remaining
418	2437	55746
419	2442	55717
420	2447	55680
421	2452	55668
422	2457	55633
423	2462	55609
424	2467	55580
425	2472	55560
426	2476	55528
427	2482	55515
428	2487	55492
429	2492	55466
430	2497	55456
431	2502	55430
432	2507	55404
433	2512	55373
434	2519	55393
435	2523	55352
436	2527	55306
437	2531	55257
438	2536	55247
439	2541	55217
440	2546	55197
441	2551	55169
442	2555	55139
443	2561	55119
444	2565	55092
445	2570	55065
446	2575	55040
447	2581	55040
448	2586	55024
449	2591	54996
450	2595	54964
451	2602	54984
452	2607	54953
453	2610	54894
454	2615	54857
455	2619	54831
456	2624	54801
457	2629	54786
458	2634	54761
459	2639	54739
460	2644	54719
461	2649	54690
462	2653	54664
463	2658	54640
464	2663	54618
465	2668	54591
466	2672	54560
467	2680	54605
468	2684	54552
469	2688	54507
470	2693	54483
471	2697	54455
472	2702	54435
473	2708	54423
474	2713	54405
475	2718	54397
476	2723	54377
477	2728	54354
478	2733	54338
479	2738	54320
480	2744	54315
481	2749	54293
482	2755	54285
483	2760	54273
484	2765	54246
485	2769	54217
486	2775	54207
487	2779	54184
488	2783	54147
489	2789	54129
490	2793	54101
491	2798	54082
492	2802	54045
493	2807	54018
494	2811	53980
495	2816	53965
496	2820	53936
497	2825	53915
498	2830	53895
499	2835	53874
500	2840	53860
501	2845	53828
502	2850	53810
503	2855	53793
504	2860	53776
505	2864	53746
506	2869	53730
507	2874	53706
508	2878	53675
509	2883	53651
510	2887	53627
511	2892	53608
512	2897	53585
513	2902	53571
514	2907	53548
515	2912	53532
516	2918	53529
517	2923	53508
518	2928	53490
519	2932	53463
520	2938	53454
521	2943	53441
522	2948	53424
523	2953	53405
524	2958	53385
525	2963	53375
526	2967	53350
527	2972	53327
528	2977	53302
529	2982	53286
530	2987	53267
531	2991	53239
532	2996	53218
533	3001	53199
534	3005	53178
535	3010	53156
536	3015	53142
537	3020	53120
538	3024	53096
539	3029	53080
540	3034	53064
541	3040	53054
542	3044	53031
543	3049	53011
544	3054	52990
545	3058	52962
546	3063	52933
547	3067	52912
548	3074	52919
549	3079	52904
550	3083	52883
551	3088	52859
552	3095	52876
553	3100	52858
554	3105	52854
555	3110	52838
556	3114	52794
557	3118	52776
558	3124	52764
559	3129	52749
560	3133	52727
561	3138	52700
562	3143	52694
563	3148	52674
564	3153	52653
565	3158	52640
566	3163	52623
567	3167	52600
568	3172	52585
569	3177	52569
570	3182	52548
571	3186	52520
