order_approved_at,num_pedidos,avg_review,std_review,per_detractor,per_atraso,avg_atraso,cv_review,mm_num_pedidos,mm_avg_review,mm_cv_review,mm_per_detractor,mm_per_atraso
2018-02-21,196,3.9,1.4832396974191324,0.2818181818181818,0.1590909090909091,1.6181818181818182,0.3803178711331109,196.42857142857142,3.815072802512957,0.397520214004654,0.3086400668709496,0.150973069024509
2018-02-22,213,3.522727272727273,1.6030669706563299,0.3939393939393939,0.20454545454545456,2.5984848484848486,0.45506417231534524,188.28571428571428,3.758524302153382,0.41076345796707814,0.3230371789879314,0.16204587244258928
2018-02-23,201,3.5269709543568464,1.6177075971837953,0.3900414937759336,0.22406639004149378,3.099585062240664,0.4586676834368173,186.0,3.711435988877671,0.4226082495016243,0.3344606039016583,0.17522922162902635
2018-02-24,159,3.396039603960396,1.693294988719253,0.44554455445544555,0.1782178217821782,3.0643564356435644,0.4986087284566897,185.42857142857142,3.661449368594021,0.4345263421341243,0.35254998040687646,0.18601709578323716
2018-02-25,139,3.4155844155844157,1.6713710027325308,0.4155844155844156,0.2792207792207792,3.772727272727273,0.4893367574540109,185.42857142857142,3.649822899824695,0.43577295728056736,0.35650792722196606,0.19733434995763416
2018-02-26,184,3.530232558139535,1.5966575607263858,0.35348837209302325,0.22325581395348837,3.227906976744186,0.4522811272149841,190.14285714285714,3.586914945945469,0.4475202230104528,0.37339282071424673,0.20317761749720814
2018-02-27,266,3.3765060240963853,1.688719233475603,0.42771084337349397,0.18674698795180722,2.8644578313253013,0.5001380780677076,194.0,3.524008689837836,0.4620592025826666,0.3868753221485554,0.20787773665515866
2018-02-28,215,3.503731343283582,1.7059010476818641,0.376865671641791,0.21641791044776118,3.1940298507462686,0.48688123618609114,196.71428571428572,3.4673988817354906,0.477282540447378,0.4004535349804995,0.2160673082775661
2018-03-01,234,3.6468531468531467,1.5507012198019734,0.34615384615384615,0.23076923076923078,2.6503496503496504,0.42521625010869074,199.71428571428572,3.485131149467758,0.473018551560713,0.39362702815399275,0.2198135620238198
2018-03-02,211,3.3221757322175733,1.7467767057482577,0.4476987447698745,0.3138075313807531,3.8493723849372383,0.5257929882541985,201.14285714285714,3.455874689162148,0.482607880820339,0.4018637782959843,0.23263372507228544
2018-03-03,186,3.650717703349282,1.577337082201204,0.3588516746411483,0.2679425837320574,3.076555023923445,0.43206218896468107,205.0,3.4922572747891314,0.4731012323214806,0.38947908117965613,0.24545154820798246
2018-03-04,158,3.5730337078651684,1.5972266957139891,0.39325842696629215,0.25280898876404495,3.0898876404494384,0.44702256578158817,207.71428571428572,3.5147500308292394,0.46705634779684885,0.3862896542342099,0.24167843528559188
2018-03-05,155,3.390374331550802,1.6792578266513596,0.40106951871657753,0.2887700534759358,2.8609625668449197,0.495301598712625,203.57142857142858,3.4947702841737063,0.47320212943936885,0.3930869608947177,0.25103761236022726
2018-03-06,259,3.6027397260273974,1.581592794329885,0.3664383561643836,0.3013698630136986,2.6027397260273974,0.4389972394908046,202.57142857142858,3.5270893844495643,0.4644677239283827,0.38433374843627327,0.2674123087976403
2018-03-07,199,3.4311926605504586,1.6593095697985791,0.3944954128440367,0.24770642201834864,2.4954128440366974,0.4835955698076073,200.28571428571428,3.5167267154876893,0.46399834301717074,0.386852282893737,0.271882096164867
2018-03-08,159,3.7109826589595376,1.6022316067880331,0.32947976878612717,0.2138728323699422,2.820809248554913,0.4317539999600151,189.57142857142858,3.5258880743600316,0.4649323072816457,0.38447027184120575,0.2694683249649687
2018-03-09,180,3.4524886877828056,1.6770525161475733,0.3936651583710407,0.19004524886877827,1.7330316742081449,0.48575177728520796,185.14285714285714,3.54450421086935,0.45921213428607566,0.37675118806994373,0.2517879988918294
2018-03-10,148,3.710691823899371,1.6278661654225957,0.3584905660377358,0.20754716981132076,2.050314465408805,0.43869613610541136,179.71428571428572,3.5530719423765054,0.46015984102046564,0.3766996011265991,0.24316008261743846
2018-03-11,141,3.567073170731707,1.601881936019158,0.3902439024390244,0.21951219512195122,2.048780487804878,0.44907459402930244,177.28571428571428,3.552220437071725,0.4604529879129963,0.3762689547655609,0.23840339781142508
2018-03-12,147,3.618181818181818,1.6096989844064364,0.3515151515151515,0.23636363636363636,2.206060606060606,0.44489167910730654,176.14285714285714,3.5847643637332998,0.45325157082652223,0.3691897594510714,0.23091676679538228
2018-03-13,192,3.7379912663755457,1.525053171322884,0.34497816593886466,0.21397379912663755,2.336244541484716,0.4079873554123136,166.57142857142858,3.604086012354464,0.4488215873867378,0.36612401799028305,0.21843161481151643
2018-03-14,152,3.4775280898876404,1.616318814623506,0.398876404494382,0.20224719101123595,1.5168539325842696,0.4647895783570017,159.85714285714286,3.610705359402633,0.4461350171795084,0.36674987394033237,0.21193743895335748
2018-03-15,207,3.8461538461538463,1.5003025996087815,0.3076923076923077,0.20085470085470086,1.7008547008547008,0.3900786758982832,166.71428571428572,3.630015529001819,0.44018139945640383,0.3636373794983581,0.21007770587975158
2018-03-16,196,3.5042735042735043,1.6133771879586731,0.4017094017094017,0.15384615384615385,1.2094017094017093,0.460402758515036,169.0,3.637413359929062,0.436560111060665,0.36478655711812397,0.20490640659080522
2018-03-17,166,3.641304347826087,1.6368804245737003,0.3532608695652174,0.21195652173913043,2.2717391304347827,0.4495313404799416,171.57142857142858,3.6275008633471644,0.4381079973998836,0.3640394576220499,0.20553631400906375
2018-03-18,135,4.026315789473684,1.4092756507800346,0.24342105263157895,0.15789473684210525,1.4276315789473684,0.350016174703538,170.71428571428572,3.6931069517388755,0.42395679463906005,0.3430647647924148,0.19673381996908576
2018-03-19,174,3.6903553299492384,1.6289969292621234,0.3401015228426396,0.17766497461928935,1.3959390862944163,0.44142007574228104,174.57142857142858,3.703417453419935,0.42346085130119926,0.3414342464106274,0.18834829686275048
2018-03-20,251,3.882943143812709,1.5138100406056254,0.26755852842809363,0.13712374581939799,1.2408026755852843,0.3898615005521809,183.0,3.724124864482387,0.42087144346403743,0.330374298194803,0.1773697178188591
2018-03-21,245,4.041958041958042,1.4086157239937611,0.22377622377622378,0.06993006993006994,0.7202797202797203,0.3484983538600482,196.28571428571428,3.8047577147781584,0.40425841139304414,0.30535998666363756,0.15846727195012109
2018-03-22,194,3.721518987341772,1.6098482047145615,0.3333333333333333,0.11392405063291139,1.1898734177215189,0.4325782590899672,194.42857142857142,3.786952734947863,0.4103297804204276,0.3090229903266412,0.1460486076327226
