iter	Passed	Remaining
407	6136	8903
408	6152	8890
409	6168	8876
410	6183	8861
411	6199	8848
412	6214	8832
413	6229	8818
414	6244	8803
415	6261	8790
416	6274	8772
417	6288	8755
418	6303	8740
419	6318	8725
420	6332	8709
421	6347	8693
422	6364	8681
423	6379	8665
424	6393	8650
425	6408	8635
426	6425	8622
427	6444	8612
428	6461	8600
429	6478	8587
430	6491	8570
431	6505	8553
432	6522	8540
433	6536	8524
434	6552	8511
435	6567	8495
436	6582	8479
437	6597	8465
438	6612	8449
439	6627	8434
440	6642	8420
441	6657	8404
442	6670	8387
443	6685	8371
444	6700	8356
445	6714	8340
446	6728	8324
447	6743	8309
448	6759	8294
449	6774	8280
450	6790	8265
451	6804	8249
452	6820	8236
453	6835	8220
454	6850	8205
455	6864	8189
456	6880	8175
457	6895	8159
458	6909	8143
459	6924	8129
460	6940	8114
461	6954	8098
462	6969	8083
463	6984	8068
464	6998	8051
465	7013	8037
466	7027	8020
467	7044	8008
468	7059	7992
469	7076	7979
470	7090	7963
471	7108	7951
472	7122	7935
473	7137	7920
474	7152	7905
475	7168	7890
476	7183	7875
477	7197	7859
478	7212	7845
479	7228	7830
480	7243	7815
481	7258	7800
482	7274	7786
483	7289	7771
484	7306	7758
485	7321	7742
486	7337	7728
487	7352	7713
488	7366	7698
489	7382	7683
490	7396	7668
491	7413	7654
492	7428	7639
493	7448	7629
494	7463	7613
495	7475	7596
496	7490	7580
497	7504	7565
498	7518	7549
499	7534	7534
500	7549	7519
501	7565	7505
502	7579	7488
503	7595	7474
504	7608	7458
505	7622	7442
506	7638	7427
507	7652	7411
508	7667	7396
509	7682	7381
510	7697	7366
511	7712	7351
512	7727	7336
513	7741	7320
514	7756	7305
515	7772	7290
516	7788	7276
517	7802	7259
518	7817	7245
519	7834	7231
520	7848	7216
521	7863	7200
522	7877	7184
523	7893	7170
524	7908	7155
525	7924	7140
526	7935	7122
527	7950	7107
528	7966	7092
529	7981	7078
530	7997	7063
531	8012	7048
532	8028	7034
533	8042	7018
534	8058	7003
535	8074	6989
536	8089	6974
537	8102	6957
538	8117	6943
539	8133	6928
540	8148	6913
541	8164	6899
542	8178	6883
543	8194	6868
544	8208	6853
545	8225	6839
546	8241	6825
547	8255	6809
548	8269	6793
549	8285	6778
550	8302	6765
551	8318	6751
552	8333	6736
553	8348	6721
554	8364	6706
555	8379	6691
556	8394	6676
557	8408	6660
558	8423	6645
559	8437	6629
560	8453	6614
561	8467	6599
562	8483	6585
563	8498	6569
564	8512	6553
565	8528	6539
566	8542	6523
567	8557	6508
568	8571	6492
569	8588	6478
570	8601	6462
571	8616	6446
572	8631	6432
573	8647	6417
574	8662	6402
575	8675	6386
576	8690	6370
577	8705	6355
578	8719	6339
579	8733	6323
580	8749	6309
581	8764	6294
582	8779	6279
583	8794	6264
584	8809	6249
585	8825	6235
586	8840	6220
587	8857	6206
588	8872	6191
589	8886	6175
590	8900	6159
591	8914	6143
592	8928	6127
593	8942	6112
594	8958	6097
595	8972	6082
596	8987	6067
597	9002	6051
598	9018	6037
599	9033	6022
600	9048	6007
601	9062	5991
602	9079	5977
603	9093	5961
604	9108	5946
605	9124	5932
606	9139	5917
607	9154	5902
608	9168	5886
609	9184	5871
610	9198	5856
611	9212	5840
612	9227	5825
613	9243	5810
614	9258	5795
615	9274	5781
616	9289	5766
617	9305	5751
618	9320	5736
619	9335	5721
620	9349	5706
621	9364	5690
622	9378	5675
623	9401	5665
624	9416	5650
625	9434	5636
626	9447	5620
627	9466	5607
628	9481	5592
629	9496	5577
630	9510	5561
631	9524	5545
632	9539	5530
633	9554	5515
634	9568	5500
635	9583	5484
636	9598	5469
637	9614	5455
638	9630	5440
639	9646	5426
640	9661	5411
641	9676	5395
642	9690	5380
643	9705	5365
644	9719	5349
645	9735	5334
646	9749	5319
647	9765	5304
648	9780	5289
649	9797	5275
650	9812	5260
651	9832	5247
652	9847	5232
653	9865	5219
654	9880	5204
655	9897	5190
656	9912	5174
657	9927	5160
658	9943	5145
659	9960	5130
660	9975	5115
661	9989	5100
662	10004	5085
663	10021	5070
664	10037	5056
665	10052	5041
666	10066	5025
667	10080	5010
668	10095	4994
669	10110	4979
670	10127	4965
671	10141	4949
672	10158	4936
673	10174	4921
674	10192	4907
675	10208	4892
676	10224	4878
677	10240	4863
678	10257	4849
679	10272	4834
680	10288	4819
681	10304	4804
682	10320	4790
683	10335	4774
684	10351	4760
685	10367	4745
686	10382	4730
687	10397	4715
688	10412	4700
689	10428	4685
690	10443	4670
691	10461	4656
692	10475	4640
693	10491	4625
694	10506	4610
695	10523	4596
696	10540	4582
697	10557	4567
698	10573	4553
699	10589	4538
700	10605	4523
701	10621	4508
702	10635	4493
703	10651	4478
704	10667	4463
705	10683	4449
706	10699	4434
707	10715	4419
708	10730	4404
709	10746	4389
710	10761	4374
711	10779	4360
712	10793	4344
713	10810	4330
714	10826	4315
715	10842	4300
716	10857	4285
717	10874	4271
718	10889	4255
719	10903	4240
720	10918	4225
721	10933	4210
722	10949	4194
723	10964	4179
724	10977	4163
725	10993	4148
726	11008	4133
727	11023	4118
728	11037	4103
729	11051	4087
730	11065	4071
731	11080	4056
732	11094	4041
733	11109	4025
734	11124	4010
735	11139	3995
736	11155	3980
737	11169	3965
738	11184	3950
739	11198	3934
740	11214	3919
741	11228	3904
742	11244	3889
743	11261	3874
744	11277	3860
745	11291	3844
746	11306	3829
747	11322	3814
748	11341	3800
749	11355	3785
750	11371	3770
751	11386	3755
752	11400	3739
753	11416	3724
754	11430	3709
755	11445	3694
756	11460	3678
757	11476	3663
758	11491	3648
759	11506	3633
760	11520	3618
761	11535	3603
762	11550	3587
763	11565	3572
764	11580	3557
765	11594	3541
766	11609	3526
767	11624	3511
768	11639	3496
769	11653	3481
770	11669	3465
771	11684	3450
772	11699	3435
773	11714	3420
774	11729	3405
775	11743	3389
776	11757	3374
777	11775	3359
778	11789	3344
779	11804	3329
780	11816	3313
781	11833	3298
782	11847	3283
783	11862	3268
784	11877	3253
785	11891	3237
786	11907	3222
787	11922	3207
788	11937	3192
789	11951	3177
790	11967	3162
791	11983	3147
792	11996	3131
793	12011	3116
794	12027	3101
795	12041	3085
796	12057	3071
797	12073	3056
798	12087	3040
799	12102	3025
800	12117	3010
801	12133	2995
802	12148	2980
803	12163	2965
804	12177	2949
805	12192	2934
806	12207	2919
807	12221	2904
808	12236	2888
809	12251	2873
810	12267	2858
811	12285	2844
812	12300	2829
813	12315	2814
814	12329	2798
815	12343	2783
816	12358	2768
817	12374	2753
818	12387	2737
819	12401	2722
820	12416	2707
821	12431	2692
822	12446	2676
823	12462	2661
824	12476	2646
825	12490	2631
826	12506	2616
827	12521	2601
828	12536	2585
829	12550	2570
830	12566	2555
831	12581	2540
832	12596	2525
833	12612	2510
834	12628	2495
835	12642	2480
836	12657	2465
837	12672	2449
838	12687	2434
839	12701	2419
840	12714	2403
841	12729	2388
842	12744	2373
843	12760	2358
844	12774	2343
845	12790	2328
846	12805	2313
847	12820	2298
848	12835	2282
849	12849	2267
850	12864	2252
851	12878	2237
852	12893	2221
853	12909	2206
854	12925	2191
855	12939	2176
856	12955	2161
857	12970	2146
858	12985	2131
859	12999	2116
860	13015	2101
861	13030	2086
862	13046	2071
863	13060	2055
864	13076	2040
865	13090	2025
866	13105	2010
867	13121	1995
868	13135	1980
869	13150	1964
870	13164	1949
871	13179	1934
872	13194	1919
873	13209	1904
874	13224	1889
875	13240	1874
876	13255	1859
877	13270	1843
878	13286	1828
879	13300	1813
880	13314	1798
881	13329	1783
882	13347	1768
883	13364	1753
884	13381	1738
885	13396	1723
886	13411	1708
887	13425	1693
888	13445	1678
889	13460	1663
890	13475	1648
891	13489	1633
892	13504	1618
893	13518	1602
894	13531	1587
895	13546	1572
896	13561	1557
897	13576	1542
898	13591	1526
899	13605	1511
900	13619	1496
901	13635	1481
902	13651	1466
903	13666	1451
904	13680	1436
905	13696	1421
906	13711	1405
907	13725	1390
908	13741	1375
909	13756	1360
910	13771	1345
911	13787	1330
912	13802	1315
913	13818	1300
914	13834	1285
915	13850	1270
916	13866	1255
917	13881	1240
918	13897	1224
919	13910	1209
920	13925	1194
921	13940	1179
922	13954	1164
923	13968	1148
924	13983	1133
925	13997	1118
926	14014	1103
927	14029	1088
928	14044	1073
929	14059	1058
930	14073	1043
931	14088	1027
932	14103	1012
933	14116	997
934	14132	982
935	14145	967
936	14161	952
937	14174	936
938	14188	921
939	14203	906
940	14218	891
941	14235	876
942	14250	861
943	14265	846
944	14279	831
945	14294	815
946	14309	800
947	14324	785
948	14339	770
949	14353	755
950	14369	740
951	14383	725
952	14400	710
953	14415	695
954	14431	680
955	14446	664
956	14461	649
957	14476	634
958	14492	619
959	14506	604
960	14522	589
961	14536	574
962	14550	559
963	14564	543
964	14578	528
965	14592	513
966	14607	498
967	14623	483
968	14638	468
969	14652	453
970	14667	438
971	14684	423
972	14699	407
973	14716	392
974	14732	377
975	14747	362
976	14764	347
977	14781	332
978	14796	317
979	14812	302
980	14828	287
981	14843	272
982	14859	256
983	14875	241
984	14890	226
985	14904	211
986	14919	196
987	14933	181
988	14949	166
989	14963	151
990	14978	136
991	14992	120
992	15007	105
993	15022	90
994	15037	75
995	15053	60
996	15067	45
997	15082	30
998	15100	15
999	15114	0
